model,k,group,n,median_km,p90_km,within_150km,logscore,entropy_bits,area50_km2,cover50,cover50_lo,cover50_hi,area80_km2,cover80,cover80_lo,cover80_hi,area95_km2,cover95,cover95_lo,cover95_hi
bayes(rho=0)@cluster,12,mover_1500km_plus,431,2380.115966796875,3786.39599609375,0.018561484918793503,-11.269905743672483,12.807631674101462,190050.28125,0.14385150812064965,,,883080.875,0.3851508120649652,,,2504123.5,0.6403712296983759,,
bayes(rho=0)+mix,12,all,6000,430.3540802001953,2567.8124755859376,0.3006666666666667,-8.233079819692975,13.09387854652795,236783.90625,0.6506666666666666,,,1065384.1875,0.886,,,2913135.0,0.9738333333333333,,
bayes(rho=0)+mix,12,stayer,5137,324.3712463378906,2157.0111816406284,0.34378041658555575,-7.8997335301992,13.087917019228312,234986.6875,0.7196807475180066,0.707237270444229,0.7317959026455624,1062004.375,0.9435468172084874,0.9368976037007359,0.9495331316870261,2910163.0,0.9912400233599377,0.9882993210047764,0.9934465472203795
bayes(rho=0)+mix,12,mover,863,1449.8428955078125,3523.4883300781257,0.0440324449594438,-10.217320710920687,13.12551724542311,244835.328125,0.2398609501738123,0.21256465823411858,0.26946296942011494,1084935.5,0.5434530706836617,0.510100289831,0.5764207077768676,2943951.0,0.8702201622247973,0.8461473893740348,0.891011510244996
bayes(rho=0)+mix,12,mover_0_500km,113,359.7454528808594,1324.920288085937,0.19469026548672566,-8.73514882810747,12.987590074005329,207003.375,0.4690265486725664,,,986370.8125,0.7787610619469026,,,2861533.5,1.0,,
bayes(rho=0)+mix,12,mover_500_1500km,319,1030.301513671875,1867.3133789062495,0.018808777429467086,-10.32503033491745,13.192398974025956,266740.84375,0.219435736677116,,,1090888.625,0.5078369905956113,,,2902905.25,0.8840125391849529,,
bayes(rho=0)+mix,12,mover_1500km_plus,431,2396.440185546875,3810.085693359375,0.02320185614849188,-10.526197863363672,13.104674494929634,237637.875,0.19489559164733178,,,1097570.875,0.5081206496519721,,,3000949.0,0.8259860788863109,,
bayes(rho=0.177),12,all,6000,879.2213134765625,3530.6616699218753,0.177,-8.849888337734084,13.753288759394295,418287.484375,0.6541666666666667,,,1620204.625,0.894,,,3626410.5,0.9735,,
bayes(rho=0.177),12,stayer,5137,773.3208618164062,3470.7310546875015,0.19427681526182597,-8.694834380928253,13.750608571851604,417299.875,0.6930114853027058,0.6802577306538542,0.7054767763187006,1618964.125,0.9182402180260852,0.9104310725912025,0.9254242861889629,3624939.0,0.9826747128674324,0.9787289900824471,0.9858990583678301
bayes(rho=0.177),12,mover,863,1403.660888671875,3832.3769531250005,0.07415990730011587,-9.772845668106699,13.76516097159233,423376.9375,0.42294322132097334,0.39039501501351975,0.4561744158951953,1627444.875,0.7497103128621089,0.7197451519166163,0.777462181003262,3633938.5,0.9188876013904983,0.8987622065366463,0.935300210403196
bayes(rho=0.177),12,mover_0_500km,113,513.1187133789062,2743.767138671875,0.21238938053097345,-8.818456148191189,13.68829457822638,383647.625,0.6194690265486725,,,1552651.375,0.8938053097345132,,,3556172.5,1.0,,
bayes(rho=0.177),12,mover_500_1500km,319,1100.3216552734375,2178.8268554687497,0.05329153605015674,-9.831404726964191,13.796046208630727,443047.9375,0.3949843260188088,,,1647415.75,0.7586206896551724,,,3626457.75,0.9529780564263323,,
bayes(rho=0.177),12,mover_1500km_plus,431,2197.715576171875,3901.554931640625,0.05336426914153132,-9.979726586841995,13.759031685556145,420492.8125,0.39211136890951276,,,1632347.5,0.7053364269141531,,,3649863.0,0.8723897911832946,,
net,14,all,6000,294.7861785888672,2222.901025390626,0.3615,-8.14813742434107,12.448615969327882,125863.1796875,0.6118333333333333,,,634253.75,0.8458333333333333,,,2332434.375,0.9645,,
net,14,stayer,5137,209.41810607910156,1619.8957031250004,0.41755888650963596,-7.703026130396542,12.448187894035554,125020.3515625,0.6961261436636169,0.683405999827144,0.7085531688817304,633516.1875,0.9326455129452988,0.9254631668905042,0.9391812524201395,2334741.0,0.990072026474596,0.9869709712578055,0.9924406488162304
net,14,mover,863,1502.6015625,3489.683300781251,0.027809965237543453,-10.797658533255358,12.451865856996532,127476.625,0.1100811123986095,0.09090142567765652,0.13271682245441282,638965.5625,0.3290845886442642,0.2985523565182695,0.3611317195574518,2328392.5,0.8122827346465817,0.7848668453196058,0.8369307241556018
net,14,mover_0_500km,113,369.45709228515625,1179.8029541015624,0.18584070796460178,-8.75325413512461,12.311143141096103,115018.609375,0.35398230088495575,,,536289.125,0.6991150442477876,,,2126249.5,0.9911504424778761,,
net,14,mover_500_1500km,319,1051.671630859375,1862.2648925781243,0.006269592476489028,-10.947122167949408,12.636410040184623,145074.125,0.0877742946708464,,,717692.25,0.27899686520376177,,,2329724.75,0.8150470219435737,,
net,14,mover_1500km_plus,431,2478.115234375,3798.473876953125,0.002320185614849188,-11.223038573908193,12.376095803980995,121410.25,0.06264501160092807,,,618430.5625,0.2691415313225058,,,2363405.75,0.7633410672853829,,
net+mix,14,all,6000,295.85667419433594,2231.551123046875,0.3595,-8.177142550805929,12.8780729672708,174484.765625,0.6663333333333333,,,934037.96875,0.8885,,,2863611.25,0.9745,,
net+mix,14,stayer,5137,211.81396484375,1619.790454101563,0.41502822659139577,-7.8087818174791295,12.875336561648215,174210.890625,0.7531633248978002,0.7411860295611808,0.7647622571940461,934907.625,0.9489974693400818,0.942638540251648,0.9546853531746735,2864731.75,0.990072026474596,0.9869709712578055,0.9924406488162304
net+mix,14,mover,863,1504.081298828125,3489.683300781251,0.028968713789107765,-10.369806614652694,12.885362533089175,178353.84375,0.14947856315179606,0.1272446121651499,0.17481934046471928,933596.625,0.5283893395133256,0.4950313986892976,0.5614956530811757,2850687.75,0.8818076477404403,0.8585575223180495,0.9016736433297459
