ordering,k,n,median_km,mean_km,p90_km,within_150km,state_acc,logscore,calib_err,cover50,cover80,cover95,d_vs_mi,d_lo,d_hi,win_rate,tie_rate,same_set
mi,13,8000,380.13677978515625,828.5225219726562,2431.635498046875,0.321125,0.4075,-8.208725721919217,0.05216666666666662,0.599,0.849625,0.942125,0.0,0.0,0.0,0.0,1.0,1
mi,14,8000,350.859130859375,795.474609375,2346.465087890625,0.33525,0.41875,-8.154414318155531,0.05104166666666665,0.599,0.843125,0.939,0.0,0.0,0.0,0.0,1.0,1
mi,15,8000,326.8872985839844,773.9050903320312,2321.756103515625,0.346375,0.431625,-8.108590570000858,0.04841666666666666,0.58875,0.83825,0.93175,0.0,0.0,0.0,0.0,1.0,1
mi,16,8000,320.2935791015625,770.5592041015625,2323.704345703125,0.35275,0.434875,-8.069549188441808,0.04895833333333329,0.588,0.8385,0.929625,0.0,0.0,0.0,0.0,1.0,1
mi,17,8000,308.7178649902344,763.4651489257812,2338.181640625,0.3645,0.442625,-8.025856417838112,0.05216666666666666,0.595125,0.8385,0.927125,0.0,0.0,0.0,0.0,1.0,1
mi,18,8000,297.7262268066406,749.6338500976562,2278.048095703125,0.372125,0.451125,-7.984526734527868,0.051208333333333335,0.594875,0.835125,0.926375,0.0,0.0,0.0,0.0,1.0,1
mi,19,8000,273.5954895019531,732.9002685546875,2252.096923828125,0.382875,0.46475,-7.950836943756259,0.04954166666666663,0.589,0.83325,0.923625,0.0,0.0,0.0,0.0,1.0,1
mi,20,8000,261.94891357421875,709.0698852539062,2156.66259765625,0.392875,0.477375,-7.928898156277042,0.04762499999999995,0.58275,0.829125,0.919,0.0,0.0,0.0,0.0,1.0,1
mi,21,8000,255.29339599609375,701.7610473632812,2136.439208984375,0.398375,0.483875,-7.900437594311441,0.04849999999999999,0.584375,0.827625,0.9165,0.0,0.0,0.0,0.0,1.0,1
mi,22,8000,244.83990478515625,692.4404296875,2121.6279296875,0.407875,0.4875,-7.872141921093673,0.04804166666666665,0.58325,0.826375,0.9155,0.0,0.0,0.0,0.0,1.0,1
mi,23,8000,226.34092712402344,677.2596435546875,2086.44580078125,0.421125,0.499125,-7.846235432170782,0.04804166666666665,0.5815,0.82475,0.912125,0.0,0.0,0.0,0.0,1.0,1
mi,24,8000,208.5248260498047,660.0875244140625,2013.439697265625,0.4335,0.509875,-7.8252498583427315,0.04862499999999995,0.580625,0.822625,0.907375,0.0,0.0,0.0,0.0,1.0,1
mi,25,8000,203.71881103515625,655.176025390625,2011.2523193359375,0.4355,0.512875,-7.8014888025415745,0.04945833333333327,0.57975,0.823,0.904375,0.0,0.0,0.0,0.0,1.0,1
