true_rho,realised_rho,theta,movers,deployed_rho,k,median_km,p90_km,within_150km,state_acc,region_acc,logscore,calib_err,cover50,cover80,cover95
0.3,0.2886919720513986,0.498046875,0,0.13,5,807.8761598226495,3462.651802721566,0.18083333333333335,0.20166666666666666,0.3441666666666667,-8.895123701714454,0.07861111111111112,0.61,0.8975,0.9783333333333334
0.3,0.2886919720513986,0.498046875,0,0.13,8,652.148521240289,2885.927844380462,0.21166666666666667,0.2633333333333333,0.39416666666666667,-8.72566105171309,0.09416666666666666,0.6425,0.9083333333333333,0.9816666666666667
0.3,0.2886919720513986,0.498046875,0,0.13,12,602.8298256974281,2801.0163657352023,0.21333333333333335,0.2816666666666667,0.42833333333333334,-8.602007446339075,0.11138888888888887,0.6791666666666667,0.9216666666666666,0.9833333333333333
0.3,0.2886919720513986,0.498046875,0,0.13,16,573.537077520139,2849.5685686048323,0.225,0.2816666666666667,0.4266666666666667,-8.50263928598322,0.12555555555555556,0.7058333333333333,0.935,0.9858333333333333
0.3,0.2886919720513986,0.498046875,0,0.13,20,591.4011505577278,2807.5613836953003,0.23166666666666666,0.2841666666666667,0.42083333333333334,-8.467713425718703,0.1283333333333333,0.7091666666666666,0.9366666666666666,0.9891666666666666
0.3,0.2886919720513986,0.498046875,0,0.177,5,844.7781865297266,3492.554109320901,0.17833333333333334,0.19416666666666665,0.33,-8.95692728396039,0.07611111111111109,0.6083333333333333,0.8933333333333333,0.9766666666666667
0.3,0.2886919720513986,0.498046875,0,0.177,8,818.6580903002787,3395.455502948179,0.18416666666666667,0.22916666666666666,0.3475,-8.832721560872837,0.08999999999999997,0.6391666666666667,0.9016666666666666,0.9791666666666666
0.3,0.2886919720513986,0.498046875,0,0.177,12,724.0416178993407,3049.775867819788,0.185,0.24166666666666667,0.37833333333333335,-8.75127483160909,0.1002777777777778,0.66,0.9125,0.9783333333333334
0.3,0.2886919720513986,0.498046875,0,0.177,16,790.7071573733067,3332.3598387765905,0.185,0.2275,0.35833333333333334,-8.683556573225445,0.10999999999999999,0.6791666666666667,0.9175,0.9833333333333333
0.3,0.2886919720513986,0.498046875,0,0.177,20,841.8308429537097,3487.7380858749843,0.18083333333333335,0.21666666666666667,0.3383333333333333,-8.662911984281905,0.11694444444444448,0.6883333333333334,0.93,0.9825
